d, 1333448705.32 
r, 1333448709.53 
r, 1333448713.75 
l, 1333448717.98 
l, 1333448722.22 
d, 1333448726.44 
u, 1333448730.66 
u, 1333448734.87 
u, 1333448739.11 
l, 1333448743.32 
l, 1333448747.56 
r, 1333448751.77 
d, 1333448755.98 
d, 1333448760.21 
l, 1333448764.44 
d, 1333448768.68 
d, 1333448772.89 
u, 1333448777.12 
l, 1333448781.33 
d, 1333448785.55 
d, 1333448789.75 
d, 1333448793.97 
l, 1333448798.18 
l, 1333448802.41 
u, 1333448806.64 
u, 1333448810.85 
l, 1333448815.1 
r, 1333448819.32 
u, 1333448823.54 
u, 1333448827.74 
l, 1333448831.97 
d, 1333448836.2 
l, 1333448840.41 
r, 1333448844.63 
d, 1333448848.83 
l, 1333448853.02 
u, 1333448857.23 
d, 1333448861.48 
r, 1333448865.69 
d, 1333448869.91 
d, 1333448874.11 
d, 1333448878.32 
l, 1333448882.53 
r, 1333448886.75 
r, 1333448890.97 
r, 1333448895.17 
u, 1333448899.37 
r, 1333448903.58 
r, 1333448907.82 
d, 1333448912.04 
d, 1333448916.28 
l, 1333448920.49 
u, 1333448924.71 
r, 1333448928.92 
r, 1333448933.13 
u, 1333448937.35 
d, 1333448941.55 
d, 1333448945.77 
d, 1333448949.99 
u, 1333448954.24 
r, 1333448958.45 
d, 1333448962.66 
l, 1333448966.89 
d, 1333448971.1 
u, 1333448975.34 
u, 1333448979.56 
l, 1333448983.77 
l, 1333448988.0 
r, 1333448992.22 
d, 1333448996.46 
u, 1333449000.71 
r, 1333449004.91 
r, 1333449009.14 
r, 1333449013.36 
l, 1333449017.57 
